Beta,Desviacion 95%,Limite Inferior,Limite Superior
61.033646989999994,1.5312310677255212,59.50241592227447,62.564878057725515
60.396083450000006,1.52321237580818,58.87287107419183,61.919295825808184
59.99203417999999,1.5181086868399376,58.47392549316005,61.51014286683993
59.64484340999999,1.5137094517900587,58.13113395820994,61.15855286179005
59.18138271000001,1.5078169644182149,57.67356574558179,60.68919967441823
58.57840842,1.5001160414656993,57.0782923785343,60.078524461465705
58.04964156000001,1.49333018122884,56.55631137877117,59.542971741228854
57.905205990000006,1.4914712177282672,56.41373477227174,59.396677207728274
57.9030085,1.4914429169552552,56.41156558304474,59.394451416955256
58.00368373000001,1.4927389303463887,56.51094479965362,59.496422660346404
58.204806760000004,1.4953246659144495,56.70948209408555,59.700131425914456
58.22687053,1.4956080563705452,56.73126247362946,59.72247858637054
58.004438840000006,1.492748646784662,56.511690193215344,59.49718748678467
58.135653299999994,1.4944361000634319,56.64121719993656,59.630089400063426
58.20191202,1.4952874814430568,56.706624538556945,59.69719950144306
58.451844,1.4984945909491967,56.9533494090508,59.9503385909492
58.71192440000001,1.5018246527975228,57.210099747202484,60.21374905279753
58.67254004,1.5013208511762701,57.171219188823734,60.17386089117627
58.533690639999996,1.4995433503657838,57.03414728963421,60.03323399036578
58.497311870000004,1.4990772938037318,56.998234576196275,59.996389163803734
58.72788772,1.5020288061989757,57.22585891380102,60.22991652619898
58.974784170000014,1.5051828156987177,57.4696013543013,60.47996698569873
59.16369320999999,1.5075916019782543,57.656101608021736,60.671284811978246
59.54349082000001,1.512422805746171,58.03106801425384,61.05591362574618
59.78827079,1.5155283602323777,58.27274242976762,61.30379915023238
59.96800843000001,1.5178046685416673,58.45020376145835,61.485813098541676
60.064533090000005,1.5190257085334138,58.54550738146659,61.58355879853342
59.89989858,1.516942485346521,58.38295609465348,61.41684106534652
60.08643027999999,1.519302572115403,58.56712770788459,61.60573285211539
60.36149234999999,1.5227761129324295,58.838716237067565,61.88426846293242
60.57630803000001,1.5254833493947024,59.0508246806053,62.10179137939471
60.73187273999999,1.5274408738736303,59.20443186612636,62.25931361387362
60.762344139999996,1.5278240122743978,59.234520127725595,62.2901681522744
61.078686550000015,1.5317959467581839,59.54689060324183,62.6104824967582
61.26635673999999,1.5341474376746973,59.732209302325295,62.80050417767469
61.29233111000001,1.534472610352417,59.7578584996476,62.82680372035243
61.17892053,1.533052318442029,59.64586821155797,62.71197284844203
60.74622256000001,1.527621316251171,59.218601243748836,62.27384387625118
60.208644369999995,1.5208468963435866,58.68779747365641,61.72949126634358
59.68051721,1.5141620617157727,58.166355148284225,61.19467927171577
