Beta,Desviacion Estandar,Limite Inferior,Limite Superior
61.033646989999994,7.812403406762863,53.22124358323713,68.84605039676286
60.396083450000006,7.771491713307041,52.62459173669296,68.16757516330705
59.99203417999999,7.745452483877233,52.24658169612276,67.73748666387722
59.64484340999999,7.723007407092136,51.92183600290786,67.36785081709213
59.18138271000001,7.692943696011301,51.48843901398871,66.8743264060113
58.57840842,7.65365327278418,50.92475514721582,66.23206169278419
58.04964156000001,7.619031536881837,50.43061002311818,65.66867309688185
57.905205990000006,7.609547029225853,50.295658960774155,65.51475301922586
57.9030085,7.609402637526812,50.293605862473186,65.51241113752681
58.00368373000001,7.616014950746881,50.38766877925313,65.6196986807469
58.204806760000004,7.629207479155355,50.57559928084465,65.83401423915535
58.22687053,7.630653348829313,50.59621718117069,65.85752387882931
58.004438840000006,7.6160645244115415,50.388374315588464,65.62050336441155
58.135653299999994,7.624673979915468,50.51097932008452,65.76032727991546
58.20191202,7.629017762464576,50.572894257535424,65.83092978246458
58.451844,7.645380566067329,50.80646343393267,66.09722456606733
58.71192440000001,7.662370677538382,51.049553722461624,66.37429507753839
58.67254004,7.659800261103419,51.01273977889658,66.33234030110341
58.533690639999996,7.650731379417264,50.88295926058273,66.18442201941726
58.497311870000004,7.648353539814958,50.84895833018505,66.14566540981497
58.72788772,7.663412276525386,51.06447544347461,66.39129999652539
58.974784170000014,7.679504161728152,51.29528000827186,66.65428833172817
59.16369320999999,7.691793887644155,51.47189932235584,66.85548709764414
59.54349082000001,7.716442886460056,51.82704793353995,67.25993370646006
59.78827079,7.732287552206009,52.05598323779399,67.520558342206
59.96800843000001,7.743901370110548,52.22410705988946,67.71190980011056
60.064533090000005,7.750131165986805,52.3144019240132,67.81466425598681
59.89989858,7.73950247625776,52.16039610374224,67.63940105625775
60.08643027999999,7.751543735282668,52.33488654471732,67.83797401528265
60.36149234999999,7.769265882308314,52.592226467691674,68.13075823230831
60.57630803000001,7.783078313238279,52.79322971676173,68.35938634323828
60.73187273999999,7.793065683028726,52.938807056971264,68.52493842302871
60.762344139999996,7.795020470787745,52.96732366921225,68.55736461078774
61.078686550000015,7.815285442643795,53.263401107356216,68.89397199264381
61.26635673999999,7.827282845279068,53.43907389472092,69.09363958527906
61.29233111000001,7.828941889553148,53.463389220446864,69.12127299955316
61.17892053,7.82169550225525,53.35722502774475,69.00061603225525
60.74622256000001,7.793986307403934,52.95223625259607,68.54020886740395
60.208644369999995,7.759422940528503,52.44922142947149,67.9680673105285
59.68051721,7.725316641407004,51.95520056859299,67.405833851407
