Beta,Desviacion 90%,Limite Inferior,Limite Superior
60.41422029999999,1.2786023247566363,59.135617975243356,61.69282262475662
58.50042245999999,1.2581876079795153,57.242234852020474,59.758610067979504
56.91191004,1.2409877169657684,55.67092232303423,58.15289775696577
54.960197550000004,1.2195231386703524,53.74067441132965,56.17972068867036
53.64656422000001,1.2048607552054533,52.44170346479456,54.85142497520546
51.129313759999995,1.1762533794527605,49.953060380547235,52.305567139452755
49.00642278000001,1.1515754651921406,47.85484731480787,50.15799824519215
46.955491630000004,1.127221070766825,45.82827055923318,48.08271270076683
45.716275649999986,1.1122472064059825,44.604028443594004,46.82852285640597
45.15136846,1.1053539335297609,44.04601452647024,46.25672239352976
44.85959978000002,1.1017767400643133,43.7578230399357,45.961376520064334
45.063057500000006,1.104272430931052,43.95878506906895,46.16732993093106
45.55998077,1.1103443022915875,44.449636467708416,46.67032507229159
47.10609182,1.1290272898261384,45.97706453017386,48.235119109826144
47.728114999999995,1.1364570928674562,46.591657907132536,48.864572092867455
50.15034818,1.1649381783330157,48.985410001666985,51.31528635833302
52.79691012999999,1.1952813841708287,51.60162874582917,53.99219151417082
55.07095650000001,1.2207513467652311,53.850205153234775,56.29170784676524
56.272104639999995,1.2339923904078824,55.03811224959211,57.50609703040788
58.37277613000001,1.256814192819222,57.11596193718079,59.62959032281923
59.75799943,1.2716392586247318,58.48636017137527,61.02963868862473
61.3696768,1.2886732699281072,60.0810035300719,62.658350069928105
63.87879827999999,1.3147533042956652,62.56404497570433,65.19355158429566
64.87576702,1.3249733863376107,63.55079363366239,66.20074040633762
65.34072081000001,1.3297128412927368,64.01100796870728,66.67043365129274
67.40334612000001,1.3505374474051917,66.05280867259482,68.7538835674052
68.75221341000001,1.3639839012715482,67.38822950872846,70.11619731127156
70.0634291,1.3769291584185714,68.68649994158142,71.44035825841857
71.48513677,1.3908291312308614,70.09430763876914,72.87596590123086
71.50089912,1.3909824604976082,70.10991665950239,72.89188158049761
70.09534360999999,1.3772427244035463,68.71810088559644,71.47258633440353
68.35973349,1.3600850996069227,66.99964839039308,69.71981858960692
67.00232865,1.3465139300620557,65.65581471993794,68.34884258006205
63.619356040000014,1.3120806679779298,62.30727537202208,64.93143670797794
61.698014230000005,1.292115973729664,60.40589825627034,62.99013020372967
60.304207649999995,1.2774376442945905,59.0267700057054,61.58164529429459
59.33294750000001,1.2671086743396855,58.06583882566032,60.6000561743397
59.62440270000001,1.2702170063271376,58.354185693672875,60.89461970632715
59.17641020999999,1.2654360728164629,57.91097413718353,60.441846282816456
