Beta,Desviacion 90%,Limite Inferior,Limite Superior
61.857891419999994,1.2937890115076935,60.5641024084923,63.151680431507685
61.00189678000001,1.2848060465848514,59.717090733415155,62.286702826584865
59.978523749999994,1.2739834564490768,58.70454029355092,61.25250720644907
58.926753099999985,1.2627639013585534,57.66398919864143,60.18951700135854
60.398347919999985,1.2784343527542505,59.11991356724573,61.67678227275424
62.14138649,1.296750343653713,60.84463614634629,63.438136833653715
62.278221810000005,1.2981772805491754,60.98004452945083,63.57639909054918
65.12168258000001,1.3274822074270696,63.794200372572945,66.44916478742708
68.58425616000001,1.3623168198894267,67.22193934011058,69.94657297988944
70.51681806,1.381377112126922,69.13544094787308,71.89819517212693
70.632447,1.382509194881448,69.24993780511855,72.01495619488145
74.15646803,1.4165777648999038,72.7398902651001,75.5730457948999
74.92922958,1.4239394947616963,73.5052900852383,76.3531690747617
74.69729107,1.4217339310422918,73.27555713895771,76.1190250010423
75.12637463000002,1.4258115159730818,73.70056311402693,76.5521861459731
77.25216429,1.445843310572924,75.80632097942707,78.69800760057292
77.57821280000002,1.4488912426131921,76.12932155738683,79.0271040426132
77.79360695,1.4509012552440421,76.34270569475595,79.24450820524405
75.60594259,1.4303550985580633,74.17558749144193,77.03629768855807
72.89449737999999,1.404472613733406,71.49002476626659,74.2989699937334
71.25589740999999,1.3885972770709842,69.867300132929,72.64449468707097
69.51041081,1.371484266815082,68.13892654318491,70.88189507681508
69.26685101,1.3690793640411618,67.89777164595884,70.63593037404115
68.49210799,1.3614013240908787,67.13070666590912,69.85350931409087
67.66412029000001,1.3531474461703987,66.31097284382962,69.01726773617041
68.49543086000001,1.3614343476382973,67.13399651236172,69.85686520763831
73.04755914000002,1.405946376010901,71.64161276398912,74.45350551601092
76.57310657,1.4394746983051987,75.13363187169479,78.0125812683052
78.77628480999999,1.46003628757295,77.31624852242705,80.23632109757294
80.38269539,1.4748477321158437,78.90784765788415,81.85754312211584
80.81078411,1.4787697659583887,79.33201434404161,82.28955387595839
79.04955738000001,1.4625665062116477,77.58699087378837,80.51212388621165
79.08750406000001,1.462917506812881,77.62458655318713,80.5504215668129
81.00737224000001,1.4805673725492738,79.52680486745074,82.48793961254928
80.88863169,1.4794818673067007,79.4091498226933,82.3681135573067
79.83731419,1.4698359368684477,78.36747825313155,81.30715012686845
77.52908228,1.4484323763184008,76.0806499036816,78.97751465631839
74.39625757,1.4188662124769171,72.97739135752309,75.81512378247692
70.44126005,1.3806368484391587,69.06062320156084,71.82189689843915
