Beta,Desviacion 90%,Limite Inferior,Limite Superior
43.32606221,1.0827807141421353,42.24328149585787,44.408842924142135
40.63978536,1.0486766669416938,39.5911086930583,41.68846202694169
38.30196426,1.0180671531714718,37.283897106828526,39.32003141317147
37.04378718,1.0012063433866145,36.04258083661339,38.044993523386616
35.34478322,0.9779768249447451,34.36680639505525,36.322760044944744
35.241425289999995,0.9765458405542068,34.264879449445786,36.217971130554204
37.18685026,1.0031378094500103,36.18371245054999,38.18998806945001
39.09638085,1.0285707753461657,38.067810074653835,40.12495162534617
41.62653136,1.0613314021710845,40.565199957828916,42.687862762171086
44.127885379999995,1.0927541399391472,43.03513124006085,45.22063951993914
45.95606087,1.1151603006552098,44.84090056934479,47.071221170655214
47.62966619000001,1.1352844024815754,46.494381787518435,48.76495059248158
49.07632697,1.1523964929181028,47.923930477081896,50.2287234629181
52.475415270000006,1.191636629203726,51.28377864079628,53.667051899203734
54.486917080000005,1.2142609266191804,53.27265615338082,55.70117800661919
57.159025580000005,1.2436790269001063,55.9153465530999,58.40270460690011
58.00761668,1.2528769330085736,56.754739746991426,59.26049361300857
59.15993906999999,1.2652599500572865,57.89467911994271,60.42519902005728
59.39027743999999,1.2677206928561826,58.12255674714381,60.65799813285617
59.959600449999996,1.2737824689000523,58.685817981099945,61.23338291890005
57.96267506,1.2523915034015383,56.71028355659846,59.21506656340154
55.14228133000002,1.221541615484357,53.92073971451566,56.36382294548437
54.59561224,1.2154714789403576,53.38014076105964,55.81108371894036
53.48922325,1.20309257891935,52.28613067108065,54.692315828919355
52.21617217,1.1886894770978846,51.02748269290212,53.40486164709788
50.01546198000001,1.1633704934561024,48.85209148654391,51.17883247345611
49.98437077,1.1630088431000396,48.82136192689996,51.147379613100036
47.87920031000001,1.1382544224331737,46.74094588756684,49.01745473243318
46.40864557999999,1.120638010936714,45.288007569063275,47.52928359093671
45.15578500000001,1.1054079930262175,44.05037700697379,46.26119299302623
44.86919425,1.1018945565268767,43.76729969347312,45.97108880652688
44.30811101000001,1.0949833610417798,43.213127648958235,45.40309437104179
44.078543020000005,1.092143028067732,42.986399991932274,45.170686048067736
45.132537369999994,1.1051234068494533,44.02741396315054,46.237660776849445
46.51277835999999,1.1218945630567025,45.39088379694329,47.63467292305669
48.294956750000004,1.1431857256781102,47.151771024321896,49.43814247567811
47.929937200000005,1.1388573585468464,46.79107984145316,49.06879455854685
48.53970987999999,1.1460788298717806,47.39363105012821,49.68578870987177
49.07603783,1.1523930981610648,47.923644731838934,50.22843092816106
