Beta,Desviacion 90%,Limite Inferior,Limite Superior
70.08429131,1.3771341415858616,68.70715716841414,71.46142545158585
68.50916112,1.3615707940454218,67.14759032595458,69.87073191404542
66.66614717,1.3431316424524415,65.32301552754755,68.00927881245245
64.69829413999999,1.3231598595793082,63.37513428042068,66.0214539995793
62.84535963999999,1.304074822699338,61.54128481730065,64.14943446269933
60.77059723999999,1.2823679479633407,59.48822929203664,62.05296518796333
59.14350399999999,1.2650841885487305,57.87841981145126,60.40858818854873
58.397479249999996,1.25708010400086,57.14039914599913,59.65455935400086
58.190969239999994,1.254855440031524,56.93611379996847,59.44582468003152
57.289605460000004,1.2450988097934095,56.04450665020659,58.534704269793416
56.61868751,1.2377866692982589,55.38090084070174,57.85647417929826
55.873308120000004,1.229612006306961,54.643696113693046,57.10292012630696
55.848459899999995,1.229338556708027,54.619121343291965,57.077798456708024
55.68233391,1.227508809006305,54.454825100993695,56.9098427190063
55.70068281999999,1.2277110418497932,54.472971778150196,56.928393861849784
55.56668414,1.226233405392071,54.34045073460793,56.79291754539207
55.16638386,1.2218085524531104,53.94457530754689,56.388192412453115
54.85166668,1.2183184367305084,53.633348243269495,56.06998511673051
54.44581612000001,1.2138028652385158,53.2320132547615,55.659618985238524
54.34548374,1.2126839556848004,53.132799784315196,55.5581676956848
54.64913901999999,1.2160671709103714,53.43307184908962,55.865206190910364
54.712478919999995,1.2167716949760665,53.49570722502393,55.92925061497606
54.74750432999999,1.217161104392464,53.530343225607524,55.96466543439246
54.61113546000001,1.2156442647137629,53.39549119528625,55.82677972471377
54.38330016999999,1.2131058067725347,53.17019436322746,55.59640597677252
54.495647850000005,1.2143582069278251,53.28128964307218,55.71000605692783
54.13272086,1.2103077954189234,52.92241306458108,55.34302865541892
53.88925059,1.207582955029611,52.681667634970395,55.09683354502961
53.33117665999998,1.2013138529184473,52.12986280708154,54.53249051291843
52.57669238,1.1927859992370362,51.38390638076296,53.769478379237036
51.729521509999984,1.1831372635670712,50.546384246432915,52.91265877356705
50.93334983,1.1739970952848466,49.75935273471515,52.107346925284844
51.04832486,1.1753214168017254,49.87300344319828,52.22364627680172
50.67309851,1.1709939000503922,49.50210460994961,51.84409241005039
50.107033369999996,1.164434991637808,48.94259837836219,51.2714683616378
50.017422399999994,1.1633932931298854,48.85402910687011,51.18081569312988
48.901980280000004,1.1503476917314477,47.751632588268556,50.05232797173145
47.94274138,1.1390094676639633,46.80373191233604,49.08175084766396
47.20981594999999,1.1302696236124314,46.07954632638756,48.34008557361243
